Date,Genre,Headline,Link
2025-10-26,World,Israel-Gaza War,https://www.bbc.com/news/topics/c2vdnvdg6xxt
2025-10-26,World,War in Ukraine,https://www.bbc.com/news/war-in-ukraine
2025-10-26,World,US & Canada,https://www.bbc.com/news/us-canada
2025-10-26,World,UK,https://www.bbc.com/news/uk
2025-10-26,World,UK Politics,https://www.bbc.com/news/politics
2025-10-26,World,England,https://www.bbc.com/news/england
2025-10-26,World,N. Ireland,https://www.bbc.com/news/northern_ireland
2025-10-26,World,N. Ireland Politics,https://www.bbc.com/news/northern_ireland/northern_ireland_politics
2025-10-26,World,Scotland,https://www.bbc.com/news/scotland
2025-10-26,World,Scotland Politics,https://www.bbc.com/news/scotland/scotland_politics
2025-10-26,World,Wales,https://www.bbc.com/news/wales
2025-10-26,World,Wales Politics,https://www.bbc.com/news/wales/wales_politics
2025-10-26,World,Africa,https://www.bbc.com/news/world/africa
2025-10-26,World,Asia,https://www.bbc.com/news/world/asia
2025-10-26,World,China,https://www.bbc.com/news/world/asia/china
2025-10-26,World,India,https://www.bbc.com/news/world/asia/india
2025-10-26,World,Australia,https://www.bbc.com/news/world/australia
2025-10-26,World,Europe,https://www.bbc.com/news/world/europe
2025-10-26,World,Latin America,https://www.bbc.com/news/world/latin_america
2025-10-26,World,Middle East,https://www.bbc.com/news/world/middle_east
2025-10-26,World,In Pictures,https://www.bbc.com/news/in_pictures
2025-10-26,World,BBC InDepth,https://www.bbc.com/news/bbcindepth
2025-10-26,World,BBC Verify,https://www.bbc.com/news/bbcverify
2025-10-26,World,"Two arrested over theft of jewels at Louvre, French media reportThieves wielding power tools broke into the world's most-visited museum in broad daylight, stealing eight items described as of inestimable value.16 mins agoEurope",https://www.bbc.com/news/articles/c2em38pdv0do
2025-10-26,World,"Trump presides over Thai-Cambodia 'peace deal' - but what does it mean?Trump calls it historic, Thailand only calls is ""a pathway to peace"", but all sides hope the agreement will stick.2 hrs agoAsia",https://www.bbc.com/news/articles/c93dy2kk7vzo
2025-10-26,World,"'Brothers in the forest' - the fight to protect an isolated Amazon tribePeru's Mashco Piro face a struggle to survive in the 21st Century, but locals want to help them.11 hrs agoLatin America",https://www.bbc.com/news/articles/cjw92x915xlo
2025-10-26,World,"Trump raises tariffs on Canadian goods over Reagan advertSaying that airing the advert was a hostile act, Trump announces an additional 10% on top of his existing levies.3 hrs agoUS & Canada",https://www.bbc.com/news/articles/cx2ljgrm78zo
2025-10-26,World,"Three killed in Russian strikes on Kyiv, officials sayAt least 32 others were injured in the attack, including six children, the city's mayor says.10 mins agoEurope",https://www.bbc.com/news/articles/czxnye07x2lo
2025-10-26,World,Trump's week in Asia: BBC correspondents on the wins and potential lossesHere's what you should know as the US president arrives for a whirlwind week of diplomacy.1 hr agoWorld,https://www.bbc.com/news/articles/c9d6jnn37l2o
